method,metric,value
DSDV,delay_ms,14.009905584546622
DSDV,delay_ms,4.662910627235255
DSDV,delay_ms,8.199268161434492
DSDV,delay_ms,11.705732270735995
DSDV,delay_ms,4.879805873427064
DSDV,delay_ms,23.87677394158144
DSDV,delay_ms,9.0773379982398
DSDV,delay_ms,5.0687053383391
DSDV,delay_ms,9.256753905969582
DSDV,delay_ms,4.949832833503564
DSDV,delay_ms,8.01190644312754
DSDV,delay_ms,23.35096708427035
DSDV,delay_ms,13.174787506949944
DSDV,delay_ms,9.348799852325303
DSDV,delay_ms,10.013698204082
DSDV,delay_ms,13.758437843262591
DSDV,delay_ms,4.742134004114822
DSDV,delay_ms,5.189564897793446
DSDV,delay_ms,9.64900882087371
DSDV,delay_ms,28.438525330002417
DSDV,delay_ms,22.70187666546808
DSDV,delay_ms,11.0564406757539
DSDV,delay_ms,28.35935122706468
DSDV,delay_ms,4.796369676080062
DSDV,delay_ms,11.962184891007876
DSDV,delay_ms,8.757722839166734
DSDV,delay_ms,14.472430470147687
DSDV,delay_ms,9.783679972198517
DSDV,delay_ms,4.9362116988434375
DSDV,delay_ms,5.159642893111746
DSDV,delay_ms,4.8552664825529614
DSDV,delay_ms,47.581969231809346
DSDV,delay_ms,5.068623786360755
DSDV,delay_ms,9.680304982344854
DSDV,delay_ms,9.200662340147641
DSDV,delay_ms,10.713959404678402
DSDV,delay_ms,17.166930512925923
DSDV,delay_ms,35.31760732778781
DSDV,delay_ms,4.776523585414515
DSDV,delay_ms,4.90481012000327
DSDV,delay_ms,10.453950996603755
DSDV,delay_ms,4.694003650604771
DSDV,delay_ms,15.402797486813474
DSDV,delay_ms,9.648228184225186
DSDV,delay_ms,8.997845193240206
DSDV,delay_ms,12.751325790096656
DSDV,delay_ms,9.496096225129804
DSDV,delay_ms,18.94606217449653
DSDV,delay_ms,4.785884413586217
DSDV,delay_ms,8.315348692381026
DSDV,delay_ms,4.820434357187784
DSDV,delay_ms,28.730465741348663
DSDV,delay_ms,4.776523585414515
DSDV,delay_ms,4.924494680487064
DSDV,delay_ms,8.283804662701435
DSDV,delay_ms,33.387846293103586
DSDV,delay_ms,8.066903659225847
DSDV,delay_ms,13.533759771000662
DSDV,delay_ms,9.80832468664141
DSDV,delay_ms,9.809528966423509
DSDV,delay_ms,4.646264911890135
DSDV,delay_ms,16.765560965850185
DSDV,delay_ms,8.045502749084909
DSDV,delay_ms,17.539702000337208
DSDV,delay_ms,51.483315874420946
DSDV,delay_ms,8.075355003879448
DSDV,delay_ms,4.959764216493591
DSDV,delay_ms,8.952672218174683
DSDV,delay_ms,9.681109821551214
DSDV,delay_ms,5.049074188868351
